0,0,0,0,0,0,0,0,0,0,0,0,0
3.447e-18,-0.00020671,3.3429e-18,1.2123e-16,0.038652,-0.018151,-0.067625,-1.2074e-16,-0.0043518,-0.0043518,-0.0043518,-0.0043518,0
3.1001e-18,0.0045433,3.4287e-18,-1.6446e-16,0.13865,-0.11815,0.032375,-1.4001e-15,0.095648,0.095648,0.095648,0.095648,0
2.7531e-18,0.0092933,3.5128e-18,-9.9534e-17,0.23865,-0.21815,0.13238,-1.3952e-15,0.19565,0.19565,0.19565,0.19565,0
3.148e-16,0.01318,2.8333e-16,1.896e-16,0.33865,-0.31815,0.23238,-1.9597e-15,0.27747,0.27747,0.27747,0.27747,0
2.9839e-16,0.015547,2.7518e-16,2.4558e-16,0.43865,-0.41815,0.33238,-1.9999e-15,0.32731,0.32731,0.32731,0.32731,0
2.9061e-16,0.017149,2.7003e-16,2.8065e-16,0.53865,-0.51815,0.39164,-2.0423e-15,0.36103,0.36103,0.36103,0.36103,0
2.8187e-16,0.018244,2.6235e-16,3.092e-16,0.63865,-0.61815,0.41328,-2.0722e-15,0.38408,0.38408,0.38408,0.38408,0
2.7525e-16,0.018965,2.5909e-16,3.3064e-16,0.73865,-0.71815,0.40626,-2.0987e-15,0.39927,0.39927,0.39927,0.39927,0
2.6614e-16,0.019396,2.5123e-16,3.6384e-16,0.83303,-0.81815,0.37658,-2.1223e-15,0.40834,0.40834,0.40834,0.40834,0
2.5825e-16,0.019596,2.4461e-16,3.8561e-16,0.9127,-0.90948,0.32936,-2.1423e-15,0.41254,0.41254,0.41254,0.41254,0
2.6037e-16,0.019626,2.4698e-16,4.0086e-16,0.98164,-0.97585,0.26969,-2.1642e-15,0.41317,0.41317,0.41317,0.41317,0
2.5397e-16,0.019538,2.4254e-16,4.2888e-16,1.0421,-1.023,0.20096,-2.188e-15,0.41132,0.41132,0.41132,0.41132,0
2.6186e-16,0.019358,2.5066e-16,4.8268e-16,1.0953,-1.0543,0.12538,-2.251e-15,0.40753,0.40753,0.40753,0.40753,0
2.563e-16,0.0191,2.4648e-16,5.2031e-16,1.1418,-1.0721,0.044593,-2.288e-15,0.4021,0.4021,0.4021,0.4021,0
2.5996e-16,0.018772,2.5075e-16,5.8426e-16,1.1819,-1.0781,-0.040094,-2.3635e-15,0.39521,0.39521,0.39521,0.39521,0
2.6326e-16,0.018381,2.5485e-16,6.7971e-16,1.2159,-1.0736,-0.12761,-2.4618e-15,0.38697,0.38697,0.38697,0.38697,0
3.045e-16,0.017929,2.9263e-16,1.0338e-15,1.2439,-1.0597,-0.21709,-2.8653e-15,0.37744,0.37744,0.37744,0.37744,0
2.6503e-16,0.017415,2.6049e-16,8.5926e-16,1.266,-1.0373,-0.3078,-2.6513e-15,0.36664,0.36664,0.36664,0.36664,0
2.4291e-16,0.01684,2.4295e-16,8.2107e-16,1.2825,-1.0071,-0.39919,-2.5984e-15,0.35452,0.35452,0.35452,0.35452,0
2.2498e-16,0.016199,2.2813e-16,7.8386e-16,1.2936,-0.96995,-0.49082,-2.5465e-15,0.34102,0.34102,0.34102,0.34102,0
6.3316e-17,0.015486,8.8238e-17,4.5211e-16,1.2993,-0.92622,-0.58239,-2.0692e-15,0.32602,0.32602,0.32602,0.32602,0
-8.1818e-17,0.014693,-3.7434e-17,2.8821e-16,1.2999,-0.87634,-0.67369,-1.7651e-15,0.30933,0.30933,0.30933,0.30933,0
-7.9737e-17,0.013808,-3.2258e-17,2.965e-16,1.2955,-0.82062,-0.76463,-1.7689e-15,0.29069,0.29069,0.29069,0.29069,0
-8.378e-17,0.012812,-3.1971e-17,2.9249e-16,1.2862,-0.75924,-0.85518,-1.7701e-15,0.26973,0.26973,0.26973,0.26973,0
-8.8239e-17,0.011681,-3.1338e-17,2.9349e-16,1.2722,-0.69227,-0.94539,-1.7606e-15,0.24592,0.24592,0.24592,0.24592,0
-9.6793e-17,0.010379,-3.3184e-17,2.9121e-16,1.2534,-0.61972,-1.0353,-1.7494e-15,0.21851,0.21851,0.21851,0.21851,0
-9.8134e-17,0.0088549,-2.9005e-17,2.9644e-16,1.23,-0.54159,-1.1251,-1.7494e-15,0.18642,0.18642,0.18642,0.18642,0
-1.0463e-16,0.0070327,-3.0589e-17,3.1125e-16,1.2019,-0.45806,-1.2146,-1.752e-15,0.14806,0.14806,0.14806,0.14806,0
-1.1074e-16,0.0048025,-2.6354e-17,3.1033e-16,1.1695,-0.36994,-1.3033,-1.7495e-15,0.10111,0.10111,0.10111,0.10111,0
-1.2063e-16,0.0020134,-2.4782e-17,3.1693e-16,1.1339,-0.27973,-1.3899,-1.7334e-15,0.042388,0.042388,0.042388,0.042388,0
-4.8954e-17,-0.0015012,4.7458e-17,2.6581e-16,1.0976,-0.19339,-1.471,-1.7663e-15,-0.031603,-0.031603,-0.031603,-0.031603,0
-5.9787e-17,-0.0058055,4.8577e-17,2.728e-16,1.0655,-0.12126,-1.5412,-1.7603e-15,-0.12222,-0.12222,-0.12222,-0.12222,0
-5.944e-17,-0.010555,4.8792e-17,2.6506e-16,1.0422,-0.072379,-1.596,-1.7573e-15,-0.22222,-0.22222,-0.22222,-0.22222,0
-5.9093e-17,-0.015305,4.9005e-17,2.8978e-16,1.0279,-0.045245,-1.6371,-1.7413e-15,-0.32222,-0.32222,-0.32222,-0.32222,0
-5.8746e-17,-0.020055,4.9216e-17,2.5373e-16,1.0191,-0.031616,-1.6694,-1.7029e-15,-0.42222,-0.42222,-0.42222,-0.42222,0
